timestamp;status_code;length;output_file
2023-08-17 18:50:55;200;317027;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:50:56;200;312494;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:50:57;200;303836;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:50:57;200;259292;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:50:58;200;275776;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:50:59;200;323323;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:50:59;200;297054;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:00;200;274924;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:01;200;280459;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:02;200;302228;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:02;200;337875;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:03;200;284567;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:04;200;335041;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:05;200;285673;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:13;200;297435;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:14;200;310297;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:15;200;313814;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:15;200;294476;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:16;200;257729;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:17;200;334340;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:22;200;301781;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:23;200;319715;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:25;200;337272;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:26;200;323460;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:27;200;303374;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:28;200;302407;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:29;200;326101;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:30;200;355631;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:30;200;323498;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:38;200;289965;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:38;200;314271;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:39;200;310554;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:40;200;303482;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:42;200;290118;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:43;200;287180;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:44;200;283157;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:45;200;308164;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:45;200;287782;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:46;200;336009;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:47;200;319241;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:48;200;312358;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:49;200;313840;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:50;200;271283;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:52;200;297978;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:52;200;264561;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:53;200;314356;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:54;200;291728;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:55;200;278137;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:51:55;200;295737;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:04;200;316690;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:05;200;300301;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:06;200;272586;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:07;200;342324;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:07;200;317434;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:08;200;293434;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:09;200;265467;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:10;200;347251;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:11;200;282140;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:13;200;351034;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:14;200;340191;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:14;200;326087;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:15;200;298267;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:16;200;301108;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:17;200;317528;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:17;200;275714;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:19;200;302575;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:22;200;292800;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:23;200;2088720;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:24;200;313470;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:25;200;339699;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:25;200;325371;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:26;200;378761;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:27;200;348324;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:28;200;351034;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:35;200;340191;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:36;200;326087;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
2023-08-17 18:52:36;200;298267;c:\Users\Archie\Desktop\social data\SODAS2023\EXAM\data
