"Property prices in housing market by prices of completed transactions,"
"time, postal code and property category"

" ";" ";" ";"Detached/terraced house";"Owner-occupied flat";"Holiday home"
"Initial listing price"
" ";"2023Q1"
" ";" ";"4350 Ugerløse";..;..;..
" ";" ";"4360 Kirke Eskilstrup";..;..;..
" ";" ";"4370 Store Merløse";..;..;..
" ";" ";"4390 Vipperød";..;..;..
" ";" ";"4400 Kalundborg";10952;..;..
" ";" ";"4420 Regstrup";..;..;..
" ";" ";"4440 Mørkøv";..;..;..
" ";" ";"4450 Jyderup";9722;..;..
" ";" ";"4460 Snertinge";..;..;..
" ";" ";"4470 Svebølle";..;..;..
" ";" ";"4480 Store Fuglede";..;..;..
" ";" ";"4490 Jerslev Sjælland";..;..;..
" ";" ";"4500 Nykøbing Sj";11316;..;25556
" ";" ";"4520 Svinninge";9855;..;..
" ";" ";"4532 Gislinge";..;..;..
" ";" ";"4534 Hørve";9350;..;..
" ";" ";"4540 Fårevejle";..;..;27100
" ";" ";"4550 Asnæs";..;..;31613
" ";" ";"4560 Vig";..;..;26827
" ";" ";"4571 Grevinge";..;..;13622
" ";" ";"4572 Nørre Asmindrup";..;..;..
" ";" ";"4573 Højby";..;..;25443
" ";" ";"4581 Rørvig";..;..;..
" ";" ";"4583 Sjællands Odde";..;..;19888
" ";" ";"4591 Føllenslev";..;..;..
" ";" ";"4592 Sejerø";..;..;..
" ";" ";"4593 Eskebjerg";..;..;10742
" ";" ";"4600 Køge";26406;28829;..
" ";" ";"4621 Gadstrup";..;..;..
" ";" ";"4622 Havdrup";..;..;..
" ";" ";"4623 Lille Skensved";18797;..;..
" ";" ";"4632 Bjæverskov";19279;..;..
" ";" ";"4640 Faxe";10636;..;..
" ";" ";"4652 Hårlev";..;..;..
" ";" ";"4653 Karise";..;..;..
" ";" ";"4654 Faxe Ladeplads";..;..;..
" ";" ";"4660 Store Heddinge";..;..;..
" ";" ";"4671 Strøby";..;..;..
" ";" ";"4672 Klippinge";..;..;..
" ";" ";"4673 Rødvig Stevns";..;..;..
" ";" ";"4681 Herfølge";21780;..;..
" ";" ";"4682 Tureby";..;..;..
" ";" ";"4683 Rønnede";12163;..;..
" ";" ";"4684 Holmegaard";14749;..;..
" ";" ";"4690 Haslev";15598;..;..
" ";" ";"4700 Næstved";13360;15357;..
" ";" ";"4720 Præstø";12148;..;..
" ";" ";"4733 Tappernøje";10421;..;..
" ";" ";"4735 Mern";..;..;..
" ";" ";"4736 Karrebæksminde";..;..;..
" ";" ";"4750 Lundby";..;..;..
" ";" ";"4760 Vordingborg";11095;..;16606
" ";" ";"4771 Kalvehave";..;..;..
" ";" ";"4772 Langebæk";..;..;..
" ";" ";"4773 Stensved";..;..;..
" ";" ";"4780 Stege";9666;..;20152
" ";" ";"4791 Borre";..;..;..
" ";" ";"4792 Askeby";..;..;..
" ";" ";"4793 Bogø By";..;..;..
" ";" ";"4800 Nykøbing F";10173;..;..
" ";" ";"4840 Nørre Alslev";5814;..;..
" ";" ";"4850 Stubbekøbing";7831;..;..
" ";" ";"4862 Guldborg";..;..;..
" ";" ";"4863 Eskilstrup";..;..;..
" ";" ";"4871 Horbelev";..;..;..
" ";" ";"4872 Idestrup";..;..;..
" ";" ";"4873 Væggerløse";..;..;18914
" ";" ";"4874 Gedser";..;..;..
" ";" ";"4880 Nysted";..;..;..
" ";" ";"4891 Toreby L";..;..;..
" ";" ";"4892 Kettinge";..;..;..
" ";" ";"4894 Øster Ulslev";..;..;..
" ";" ";"4895 Errindlev";..;..;..
" ";" ";"4900 Nakskov";5600;..;..
" ";" ";"4912 Harpelunde";..;..;..
" ";" ";"4913 Horslunde";..;..;..
" ";" ";"4920 Søllested";..;..;..
" ";" ";"4930 Maribo";10360;..;..
" ";" ";"4941 Bandholm";..;..;..
" ";" ";"4942 Askø";0;0;..
" ";" ";"4943 Torrig L";..;..;..
" ";" ";"4944 Fejø";..;..;..
" ";" ";"4945 Femø";..;0;0
" ";" ";"4951 Nørreballe";..;..;..
" ";" ";"4952 Stokkemarke";..;..;..
" ";" ";"4953 Vesterborg";..;..;..
" ";" ";"4960 Holeby";..;..;..
" ";" ";"4970 Rødby";4951;..;15045
" ";" ";"4983 Dannemare";..;..;..
" ";" ";"4990 Sakskøbing";5333;..;..
" ";" ";"5000 Odense C";24087;26672;..
" ";" ";"5200 Odense V";..;..;..
" ";" ";"5210 Odense NV";16106;..;..
" ";" ";"5220 Odense SØ";18481;..;..
" ";" ";"5230 Odense M";25694;..;..
" ";" ";"5240 Odense NØ";11555;..;..
" ";" ";"5250 Odense SV";19151;16094;..
" ";" ";"5260 Odense S";16909;..;..
" ";" ";"5270 Odense N";15718;..;..
" ";" ";"5290 Marslev";..;..;..
" ";" ";"5300 Kerteminde";15930;..;..
" ";" ";"5320 Agedrup";..;..;..
" ";" ";"5330 Munkebo";11915;..;..
" ";" ";"5350 Rynkeby";..;..;..
" ";" ";"5370 Mesinge";..;..;..
" ";" ";"5380 Dalby";..;..;..
" ";" ";"5390 Martofte";..;..;..
" ";" ";"5400 Bogense";11316;..;..
" ";" ";"5450 Otterup";10190;..;23120
" ";" ";"5462 Morud";..;..;..
" ";" ";"5463 Harndrup";..;..;..
" ";" ";"5464 Brenderup Fyn";..;..;..
" ";" ";"5466 Asperup";..;..;..
" ";" ";"5471 Søndersø";7200;..;..
" ";" ";"5474 Veflinge";..;..;..
" ";" ";"5485 Skamby";..;..;..
" ";" ";"5491 Blommenslyst";..;..;..
" ";" ";"5492 Vissenbjerg";8624;..;..
" ";" ";"5500 Middelfart";15921;..;..
" ";" ";"5540 Ullerslev";9495;..;..
" ";" ";"5550 Langeskov";10098;..;..
" ";" ";"5560 Aarup";9970;..;..
" ";" ";"5580 Nørre Aaby";9611;..;..
" ";" ";"5591 Gelsted";..;..;..
" ";" ";"5592 Ejby";..;..;..
" ";" ";"5600 Faaborg";7701;..;..
" ";" ";"5601 Lyø";0;0;0
" ";" ";"5602 Avernakø";0;0;0
" ";" ";"5603 Bjørnø";0;0;0
" ";" ";"5610 Assens";9620;..;..
" ";" ";"5620 Glamsbjerg";6921;..;..
" ";" ";"5631 Ebberup";..;..;..
" ";" ";"5642 Millinge";..;..;..
" ";" ";"5672 Broby";5917;..;..
" ";" ";"5683 Haarby";6778;..;..
" ";" ";"5690 Tommerup";6515;..;..
" ";" ";"5700 Svendborg";13938;..;..
" ";" ";"5750 Ringe";9566;..;..
" ";" ";"5762 Vester Skerninge";7454;..;..
" ";" ";"5771 Stenstrup";..;..;..
" ";" ";"5772 Kværndrup";..;..;..
" ";" ";"5792 Årslev";14319;..;..
" ";" ";"5800 Nyborg";12620;..;..
" ";" ";"5853 Ørbæk";..;..;..
" ";" ";"5854 Gislev";..;..;..
" ";" ";"5856 Ryslinge";..;..;..
" ";" ";"5863 Ferritslev Fyn";..;..;..
" ";" ";"5871 Frørup";..;..;..
" ";" ";"5874 Hesselager";..;..;..
" ";" ";"5881 Skårup Fyn";..;..;..
" ";" ";"5882 Vejstrup";..;..;..
" ";" ";"5883 Oure";..;..;..
" ";" ";"5884 Gudme";..;..;..
" ";" ";"5892 Gudbjerg Sydfyn";..;..;..
" ";" ";"5900 Rudkøbing";6830;..;..
" ";" ";"5932 Humble";5796;..;..
" ";" ";"5935 Bagenkop";..;..;..
" ";" ";"5943 Strynø";0;0;0
" ";" ";"5953 Tranekær";..;..;..
" ";" ";"5960 Marstal";14403;..;..
" ";" ";"5965 Birkholm";0;0;0
" ";" ";"5970 Ærøskøbing";..;..;..
" ";" ";"5985 Søby Ærø";..;..;..
